"","ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","predict","profit_pct","buy"
"31",10305,NA,NA,"S","N","F",NA,NA,NA,"CATFORD",NA,NA,"SE6","E",134,6,7.7,3.4,327,142,"Average","owner-occupied",51.446449,-0.01201,104,22,3,"catford bridge","Thames Water",48700,"Lewisham","rail",0,1,0,0.6636552,312000,607842.470405937,94.8213046172876,1
"32",3193,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W1G","C",43,2,1.9,1.2,252,165,"Average","rental (private)",51.520895,-0.151356,18,31,1,"baker street","Thames Water",73500,"Westminster","tube",6,0,0,0.5350254,325000,632013.978966442,94.4658396819821,1
"33",6147,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW1P","C",148,5,3.6,2,140,79,"Good","owner-occupied",51.494179,-0.128725,59,14,1,"pimlico","Thames Water",53000,"Westminster","tube",1,0,0,0.3939676,1e+06,1889424.75709954,88.9424757099535,1
"34",15945,NA,NA,"T","N","L",NA,NA,NA,NA,NA,NA,"W14","D",225,5,7.7,4,193,100,"Good","owner-occupied",51.504138,-0.209049,104,12,2,"holland park","Thames Water",60100,"Kensington and Chelsea","tube",1,0,0,0.4840706,1949000,3681879.14662924,88.9111927464975,1
"35",10578,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"W5","F",203,9,13,4.9,375,136,"Average","owner-occupied",51.514333,-0.312551,69,34,3,"west ealing","Thames Water",64800,"Ealing","rail",0,1,0,0.3889964,773000,1437855.60692648,86.0097809736708,1
"36",7802,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE6","D",78,4,4.5,2.8,348,216,"Average","owner-occupied",51.445391,-0.011653,60,21,3,"catford bridge","Thames Water",48700,"Lewisham","rail",0,1,0,0.7369804,231000,427593.721178138,85.105507003523,1
"37",15829,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SM1","D",52,2,2.8,2,305,221,"Poor","owner-occupied",51.364478,-0.201617,58,47,5,"west sutton","SES Water",55200,"Sutton","rail",0,1,0,0.382161,117000,216286.3097606,84.8600938124784,1
"38",1688,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"HA4","D",102,6,4,1.7,220,90,"Average","owner-occupied",51.553844,-0.405085,101,34,5,"south ruislip","Affinity Water",56600,"Hillingdon","tube",1,1,0,0.4244162,280000,514496.524317509,83.7487586848245,1
"39",13133,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW17","G",97,5,15,2.2,867,127,"Average","rental (private)",51.435417,-0.165412,62,29,3,"tooting bec","Thames Water",60700,"Wandsworth","tube",1,0,0,0.3436342,390000,713399.801789883,82.9230260999699,1
"40",11374,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"UB2","D",146,5,6.1,2.9,236,110,"Average","owner-occupied",51.503133,-0.383184,28,33,4,"southall","Affinity Water",45400,"Ealing","rail",0,1,0,0.4281446,309000,564822.644926754,82.7904999762957,1
"41",9090,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW2","D",64,3,3.5,1.1,309,102,"Average","owner-occupied",51.453998,-0.114565,53,26,2,"herne hill","Thames Water",61900,"Lambeth","rail",0,1,0,0.8556678,267000,484136.216691517,81.32442572716,1
"42",13283,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E12","D",100,5,4.4,2,247,112,"Average","owner-occupied",51.552731,0.059031,272,10,3,"manor park","Thames Water",40800,"Redbridge","rail",0,1,0,0.8879806,259000,463987.630515596,79.1458032878751,1
"43",4085,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N21","C",36,2,1.6,0.9,251,143,"Very Poor","owner-occupied",51.645786,-0.116577,23,66,5,"oakwood","Thames Water",61700,"Enfield","tube",1,0,0,1.031524,128000,227131.196033764,77.446246901378,1
"44",12206,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW2","D",193.65,8,9.5,9,292,276,"Very Poor","owner-occupied",51.457304,-0.121064,65,27,2,"brixton","Thames Water",61900,"Lambeth","tube",1,1,0,0.6064864,897000,1591110.34119282,77.3813089401142,1
"45",6453,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"N9","D",79,4,4.2,1.9,274,122,"Average","owner-occupied",51.624419,-0.051342,116,14,4,"edmonton green","Thames Water",38100,"Enfield","light_rail",0,1,1,0.6344494,217000,382028.082147093,76.0498074410567,1
"46",4554,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW11","D",96,4,2.9,3,181,185,"Average","owner-occupied",51.474491,-0.152944,181,8,2,"queenstown road","Thames Water",54100,"Wandsworth","rail",0,1,0,0.3280992,399000,702328.407978631,76.022157388128,1
"47",11529,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE2","D",90.85,5,3.9,2.5,223,141,"Good","owner-occupied",51.494333,0.115564,52,2,4,"abbey wood","Thames Water",41900,"Greenwich","rail",0,1,0,0.7469228,204000,355349.003954033,74.1906882127611,1
"48",15804,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"IG3","E",99,4,6,1.3,317,65,"Average","owner-occupied",51.55179,0.0929,68,8,4,"seven kings","Essex & Suffolk Water",50400,"Redbridge","rail",0,1,0,1.1645036,231000,396589.21134045,71.6836412729219,1
"49",4617,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"KT5","E",98,5,6.1,1.2,324,59,"Poor","owner-occupied",51.384997,-0.276262,44,29,5,"tolworth","Thames Water",72000,"Kingston upon Thames","rail",0,1,0,0.6406634,405000,693454.549434641,71.2233455394176,1
"50",13339,NA,NA,"F","N","L",NA,NA,NA,"WALTHAMSTOW",NA,NA,"E17","D",66,3,2.6,1.5,221,128,"Good","owner-occupied",51.573422,-0.029392,115,10,3,"lea bridge","Thames Water",54700,"Waltham Forest","rail",0,1,0,0.7692932,228000,389694.229414863,70.9185216731855,1
"51",14168,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW2","D",97,4,4.6,4.4,267,257,"Average","owner-occupied",51.54739,-0.216048,64,62,2,"willesden green","Thames Water",50600,"Camden","tube",1,0,0,0.5617456,484000,825905.631540808,70.641659409258,1
"52",244,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"HA3","D",119,4,5.4,3.4,260,159,"Average","owner-occupied",51.597905,-0.322487,58,54,5,"harrow and wealdstone","Affinity Water",50600,"Brent","tube",2,1,1,0.8277048,322000,543655.600500937,68.8371430127133,1
"53",293,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW5","D",97,3,5.1,2.1,301,122,"Average","owner-occupied",51.554527,-0.14098,238,45,2,"kentish town","Thames Water",57000,"Camden","tube",1,1,0,0.2448316,547000,920999.297053952,68.3728148179072,1
"54",5725,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"UB3","D",173,9,8.3,4.9,248,147,"Average","owner-occupied",51.520674,-0.417919,54,42,5,"hayes and harlington","Affinity Water",44600,"Hillingdon","rail",0,1,0,1.239693,348000,585100.573534247,68.1323487167377,1
"55",4827,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"KT9","D",83,4,3,1.2,206,80,"Very Poor","rental (private)",51.358712,-0.297213,129,46,6,"chessington south","Thames Water",59700,"Kingston upon Thames","rail",0,1,0,0.581009,293000,492418.367395242,68.0608762441098,1
"56",10415,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"TW2","C",47,3,1.7,1.4,205,175,"Average","rental (social)",51.443994,-0.35435,114,19,5,"whitton","Thames Water",61900,"Richmond upon Thames","rail",0,1,0,1.0352524,193000,324215.389741494,67.9872485707224,1
"57",8632,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W2","D",39,1,1.7,1.2,252,169,"Very Poor","rental (social)",51.519176,-0.187589,254,29,2,"royal oak","Thames Water",56500,"Westminster","tube",2,0,0,0.1000454,259000,434997.861624681,67.9528423261318,1
"58",15697,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"EN3","E",82,5,6.2,1.3,392,79,"Poor","rental (private)",51.661039,-0.039213,82,18,5,"brimsdown","Thames Water",44300,"Enfield","rail",0,1,0,0.608972,246000,411653.848778795,67.3389629182092,1
"59",8729,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW14","C",208,8,4.5,2.7,122,72,"Poor","owner-occupied",51.466863,-0.261604,109,10,3,"mortlake","Thames Water",68200,"Richmond upon Thames","rail",0,1,0,0.363519,1005000,1666560.23096438,65.8268886531725,1
"60",5538,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"KT3","C",47,2,2.6,1.8,322,228,"Good","owner-occupied",51.400425,-0.261513,27,23,4,"new malden","Thames Water",61000,"Kingston upon Thames","rail",0,1,0,0.5008484,166000,273430.875557561,64.7173949141935,1
"61",10704,NA,NA,"F","N","F",NA,NA,NA,"EDMONTON",NA,NA,"N9","D",92,5,4.2,1.1,261,68,"Average","owner-occupied",51.631586,-0.079309,51,25,4,"edmonton green","Thames Water",56700,"Enfield","light_rail",0,1,1,0.857532,264000,434697.556477661,64.6581653324474,1
"62",10994,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"RM11","D",67,3,3.8,2.2,339,193,"Average","owner-occupied",51.576723,0.213661,99,30,6,"emerson park","Essex & Suffolk Water",52600,"Havering","light_rail",0,0,1,0.6437704,161000,262459.180647742,63.0181246259266,1
"63",4158,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW3","E",182,7,8.4,5.1,260,158,"Very Poor","owner-occupied",51.486964,-0.168428,72,11,1,"south kensington","Thames Water",59900,"Kensington and Chelsea","tube",3,0,0,0.7152314,2935000,4784283.98022711,63.0079720690668,1
"64",8846,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"NW4","D",247,8,8.8,5.6,203,128,"Average","owner-occupied",51.585573,-0.213532,31,52,3,"brent cross","Thames Water",54400,"Barnet","tube",1,0,0,0.9091082,1093000,1779614.94604676,62.8192997298042,1
"65",5473,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SE24","D",99,4,4.9,2.1,279,121,"Average","owner-occupied",51.456304,-0.104236,52,23,2,"herne hill","Thames Water",54000,"Lambeth","rail",0,1,0,0.276523,493000,802626.168203823,62.8044965930675,1
"66",9885,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"NW4","D",111,4,3.9,1.8,199,89,"Average","owner-occupied",51.595634,-0.214317,94,59,3,"hendon central","Thames Water",58700,"Barnet","tube",1,0,0,1.4503476,494000,802904.699236341,62.5313156348868,1
"67",1265,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR4","D",53,3,2.4,1.2,253,132,"Average","rental (private)",51.406436,-0.164461,49,23,3,"mitcham eastfields","Thames Water",45700,"Merton","rail",0,1,0,0.5741736,170000,276060.044209985,62.3882612999911,1
"68",11078,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW1X","D",156,4,6,2.9,220,107,"Very Poor","owner-occupied",51.499532,-0.161171,27,19,1,"knightsbridge","Thames Water",72600,"Kensington and Chelsea","tube",1,0,0,0.3299634,1740000,2820999.98797809,62.1264360906948,1
"69",12114,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"KT3","E",119,6,6.4,3,305,142,"Average","owner-occupied",51.390781,-0.249153,77,22,4,"motspur park","Thames Water",65000,"Kingston upon Thames","rail",0,1,0,0.6580626,505000,817166.838615527,61.8152155674311,1
"70",9334,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N1","D",70,4,2.3,1.3,184,108,"Good","rental (private)",51.531158,-0.080972,50,23,1,"hoxton","Thames Water",54300,"Islington","light_rail",0,0,1,0.329342,378000,606684.203827263,60.498466620969,1
"71",3406,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"CR2","E",220,9,16,5.5,336,112,"Very Poor","owner-occupied",51.359297,-0.08417,19,82,3,"lloyd park","Thames Water",61500,"Croydon","light_rail",0,0,1,0.5505604,764000,1210969.89107229,58.5039124440177,1
"72",15656,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E8","C",105,5,2.6,1,132,48,"Good","owner-occupied",51.545155,-0.070822,44,19,2,"dalston junction","Thames Water",56000,"Hackney","light_rail",0,0,1,0.3399058,580000,913396.65270296,57.4821815005104,1
"73",6682,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR7","D",36,2,2.5,0.9,405,145,"Average","rental (private)",51.397515,-0.108996,29,46,4,"thornton heath","Thames Water",51500,"Croydon","rail",0,1,0,0.4455438,127000,199488.266885972,57.0773755007656,1
"74",2133,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW14","C",75,3,2.3,1.5,172,116,"Average","owner-occupied",51.462636,-0.274936,44,20,3,"north sheen","Thames Water",68200,"Richmond upon Thames","rail",0,1,0,0.9314786,352000,550062.614897857,56.2677883232549,1
"75",7092,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW9","C",114,7,2.8,1.5,140,74,"Good","owner-occupied",51.467854,-0.281247,76,7,3,"north sheen","Thames Water",61900,"Richmond upon Thames","rail",0,1,0,0.2435888,565000,880045.618071475,55.7602863843318,1
"76",368,NA,NA,"T","N","F",NA,NA,NA,"PLUMSTEAD",NA,NA,"SE18","G",123,6,13,1.9,580,84,"Very Poor","owner-occupied",51.4848,0.086518,239,43,4,"plumstead","Thames Water",48200,"Greenwich","rail",0,1,0,0.584116,339000,526966.612168176,55.4473782207008,1
"77",1432,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW9","C",81,3,2.7,1.5,177,97,"Good","rental (private)",51.473122,-0.120544,99,10,2,"stockwell","Thames Water",54900,"Lambeth","tube",2,0,0,0.1932554,329000,511306.65596413,55.4123574359058,1
"78",4491,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"TW1","C",47,3,1.5,1.2,181,152,"Average","rental (private)",51.446133,-0.335105,14,12,5,"twickenham","Thames Water",70600,"Richmond upon Thames","rail",0,1,0,0.6095934,218000,338649.174534141,55.3436580431839,1
"79",1734,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"N11","D",55,2,2.6,1.5,271,155,"Average","owner-occupied",51.610373,-0.124961,89,42,3,"bounds green","Thames Water",50800,"Barnet","tube",1,0,0,0.2063048,206000,319535.499424027,55.1143201087509,1
"80",7795,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW6","D",86,5,3.9,1.7,253,115,"Good","owner-occupied",51.544919,-0.202632,104,48,2,"brondesbury","Thames Water",51900,"Brent","light_rail",0,0,1,0.2150044,377000,583270.614905364,54.7136909563301,1
"81",13779,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"TW12","F",110,6,8.8,2.6,452,135,"Average","owner-occupied",51.423966,-0.383275,70,19,6,"hampton","Thames Water",54700,"Richmond upon Thames","rail",0,1,0,0.9035156,518000,800481.009934724,54.533013500912,1
"82",1027,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N17","E",100.07,5,6.2,5.1,373,302,"Very Poor","rental (private)",51.595551,-0.073036,136,20,3,"bruce grove","Thames Water",42600,"Haringey","light_rail",0,0,1,0.2156258,343000,529348.65851433,54.3290549604461,1
"83",14001,NA,NA,"F","N","L",NA,NA,NA,"ADDISCOMBE",NA,NA,"CR0","B",48,2,1.8,1.8,228,228,"Good","owner-occupied",51.380107,-0.07103,46,59,3,"addiscombe","Thames Water",59100,"Croydon","light_rail",0,0,1,0.1236586,181000,279182.967500554,54.2447334257205,1
"84",68,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW13","D",109,6,4.9,2.3,254,117,"Average","owner-occupied",51.48395,-0.239336,68,6,2,"barnes bridge","Thames Water",65600,"Richmond upon Thames","tube",1,0,0,1.2564708,722000,1106097.29663483,53.1990715560701,1
"85",5731,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE5","C",39.04,2,2,2,342,335,"Poor","rental (private)",51.470159,-0.08359,106,26,2,"denmark hill","Thames Water",56300,"Southwark","light_rail",0,1,1,0.4511364,227000,346690.872440072,52.7272565815295,1
"86",5548,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N7","D",134,5,6,3.3,255,137,"Very Poor","owner-occupied",51.556467,-0.113922,75,30,2,"holloway road","Thames Water",58700,"Islington","tube",1,0,0,0.4126096,887000,1352705.74502769,52.5034661812501,1
"87",11681,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW8","C",65,3,1.6,1.3,143,110,"Average","owner-occupied",51.528326,-0.175736,42,43,2,"warwick avenue","Thames Water",53500,"Westminster","tube",2,0,0,0.5194904,389000,592878.4811723,52.4109206098457,1
"88",9661,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW1","C",54,2,1.6,1,172,104,"Very Poor","owner-occupied",51.543129,-0.155661,47,39,2,"chalk farm","Thames Water",54500,"Camden","tube",1,0,0,0.2373748,302000,459606.875286357,52.1877070484625,1
"89",7063,NA,NA,"F","N","L",NA,NA,NA,"CHEAM",NA,NA,"SM3","C",39,2,1.8,1.7,269,263,"Good","owner-occupied",51.370269,-0.229348,75,42,5,"stoneleigh","SES Water",55400,"Sutton","rail",0,1,0,1.2440428,130000,197481.032807832,51.9084867752553,1
"90",2129,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE6","D",139,6,6.2,3.8,252,152,"Average","owner-occupied",51.434284,-0.023818,60,22,3,"bellingham","Thames Water",45100,"Lewisham","rail",0,1,0,0.2106546,373000,566075.794048881,51.7629474661879,1
"91",13340,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W2","D",46.75,3,3.3,3.3,421,415,"Very Poor","owner-occupied",51.519086,-0.183499,74,27,2,"royal oak","Thames Water",56500,"Westminster","tube",2,0,0,0.2976506,395000,596365.790840721,50.978681225499,1
"92",8639,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR4","D",49.3,2,2.9,2.1,348,251,"Very Poor","rental (private)",51.397568,-0.175897,121,19,3,"mitcham","Thames Water",47500,"Merton","light_rail",0,0,1,0.3330704,157000,236967.132747462,50.9344794569823,1
